about,awards,certifications,contractor_id,id,name,phone,review_count,review_score,reviews_count,state_license_number,url,website,years_in_business
"We are committed to providing you a worry free home renovation project. This is guaranteed thanks to our no money down process, free estimate and inspection along with full contact support before, during, and after the job is done. You can always expect us to pick the phone to work with you, resolve any issues that arise, or help with any future decisions. Even if you don’t go with us, we want to provide you with the information and confidence for when you are ready to move forward, and when that time comes, we’d love to be the company to help. When you go with Grapevine, you go with quality, professionalism, and unmatched customer service.","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1130919,10,Grapevine Pro,(848) 858-3756,367,4.8,3,13VH11091300,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/iselin/grapevine-pro-1130919,https://www.grapevinepro.com/,In business since 2020
"About Brothers:  People often ask about our name, Brothers Aluminum- well the simple fact is when we first began changing the exterior look and functionality of homes 30 years ago, Aluminum was the ""new"" material of choice.  So yes times have changed, and the selection of exterior materials available from Vinyl Siding, Stucco, and  Fiber Cement have grown, our Name Brothers Aluminum remains the same.  You see we pride ourselves on our history, our reputation and the products and services we provide to our customers.  Having serviced over 60,000 homes on Long Island and the Tri-State area, for 30 years, it is our Name and our Reputation for providing excellent workmanship in a timely and professional manner that we pride ourselves on.  Our services have grown over the years, from a siding company to a full service remodeler with expertise in all phases of exterior home improvement, to an interior contractor- with complete Kitchen, Bathroom and Basement remodeling.   You can rest assured, any project we undertake will be completed with the utmost attention.  

When you think of quality, service and reputation there is only one name...... Brothers Aluminum","Award
President's Club Award; President's Club Award
GAF entrusts a select few Master Elite® contractors as President’s Club status, showing excellence in performance, reliability, and service --- signifying a commitment to installing roofing systems that qualify for GAF’s best warranties.","GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1100696,11,Brothers Aluminum Home Improvements Corp,(516) 940-7609,282,4.8,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/valley-stream/brothers-aluminum-home-improvements-corp-1100696,https://www.streetbond.com/coatings,In business since 1979
"A K GATSIOS INC. is a New York based company that has completed projects throughout the tri-state area. They are a licensed and fully insured general contractor working with a staff of experienced personnel with over 15 years experience in the business.
A K GATSIOS INC. specializes in all types of residential and commercial projects and is committed to the highest standard of safety performance consistent with sound construction practices. Providing a clean and safe working environment is a priority.

Their successful track record of bringing in projects on schedule and within budget, while maintaining a high quality of workmanship without compromising detail, makes them proud. It's been proven that they are able to quickly adapt to the needs of their clients. A K GATSIOS INC. provides, consulting, pre-construction, and complete finishes.

If their services could be of use to you at any time, A K GATSIOS INC. welcomes the opportunity to work with you on your next project. Please feel free to explore the site keeping in mind that no job is too big or to small.

Please contact us via email, facebook or phone to further assist you. 

Thank You so much,

Regards,
Alkis",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1101267,12,AK Gatsios Inc,(646) 934-6697,310,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/ak-gatsios-inc-1101267,https://www.streetbond.com/coatings,
CRS is a family owned and operated roofing company that was established in 1977.,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1002688,13,Complete Roof Systems,(551) 900-2410,307,5,3,13VH03467900,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/dumont/complete-roof-systems-1002688,https://crsroofing.net/,
"American Home Contractors is a full service Roofing, Windows, and Siding company. Our commitment to detailed workmanship, quality products and responsive service has helped build our excellent reputation with homeowners in the past 15 years. As one of the leading siding, roofing and windows contractors in New Jersey, we understand that Your Satisfaction Means Everything. Our commitment is on our customer’s 100% satisfaction, and will strive to exceed your expectations.
Conveniently located in Florham Park NJ, American Home Contractors has become the destination for top-quality window, roofing, and siding solutions for New Jersey homes. Please contact us to schedule a free, in-home consultation and learn more about our superior difference.
CALL US AT (908) 679-9050 TO SCHEDULE YOUR FREE CONSULTATION!",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1005149,14,American Home Contractors Inc,(908) 679-9050,243,5,3,13VH05517600,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/florham-park/american-home-contractors-inc-1005149,https://njahc.com/,In business since 2009
"RH Renovation LLC is a full-service exterior construction and renovation company based in New York City. We offer one of the best construction services in New York for both Commercial and Residential use. Our methods are fully certified and ergonomic. We use modern techniques that allow us to work fast, keep the costs low and reach the highest quality.
Our exterior construction and renovation services include: Roofing, Chimney, Gutter, Skylight, Siding, and more.
Our Service Areas are:
Westchester, Bronx, Queens, Brooklyn,",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1143942,15,RH Renovation LLC,(332) 378-0045,228,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/rh-renovation-llc-1143942,https://rhrenovationnyc.com/,In business since 2015
"B&B has been proudly serving residents across all 5 boroughs and New jersey as roofing contractors. We are a family owned and operated business that places the needs of each customer before our selves. Whether you need a new roof, roof repairs, gutters or waterproofing “We’ve Got You Covered”. We’ve served countless homeowners in the last decade and we are always happy to work with both new and existing customers. The safety and value of your property is our priority, and with our roofing services you can be sure your home is always in top shape.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1116738,16,B&B Contracting Corp,(929) 702-1676,211,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-contracting-corp-1116738,https://www.streetbond.com/coatings,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1107024,17,MNT Roofing & Siding,(862) 352-3699,115,5,3,13VH09844100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/totowa/mnt-roofing-siding-1107024,https://mntroofing.com/,In business since 2013
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1143894,18,Golden Key Construction Group Inc,(929) 702-1036,90,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/golden-key-construction-group-inc-1143894,https://www.streetbond.com/coatings,In business since 2011
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1124727,19,Hammer Exteriors LLC,(862) 437-3219,82,5,3,13VH10818400,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/hammer-exteriors-llc-1124727,https://www.streetbond.com/coatings,
"At Future Remodeling, we believe that by transforming our homes, we can transform our lives. Experience remodeling like never before. From the first consultation to the final reveal, we make every step effortless and transparent. Forward-thinking is part of our DNA, and we apply it to everything we do to ensure results exceed expectations (because we believe your home’s exterior should be as innovative as you are.) Discover how we’re revolutionizing the future of home exteriors!",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1148691,20,Future Remodeling,(201) 371-5515,73,5,3,13VH13329600,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/future-remodeling-1148691,https://futureremodeling.com/,In business since 2014
"Reisch Roofing and Construction LLC was founded on the principles of fast, friendly service, and quality workmanship. They noticed a void for honest contractors who will work hard, say what they do, and do what they say. Therefore, they set out to fill that void by opening Reisch Roofing and Construction LLC.

Reisch Roofing and Construction LLCs size and stability allows them to have professional roof inspectors at your property to inspect the roof before and after every job. This ensures the highest level of quality and workmanship. Customer satisfaction is Reisch Roofing and Construction LLCs top priority.

Reisch Roofing and Construction LLC is dedicated to providing their customers with quality that they can trust. They work directly with real estate agencies, property management companies, claims adjusters, insurance companies, homeowners, and more to provide the best direct service for their customers. It is because of Reisch Roofing and Construction LLCs values rooted in honesty and integrity that the company has a positive image with their customers. Reisch Roofing and Construction LLCs customers referrals are proof that they do what we say and say what they do. Reisch Roofing and Construction LLC is thankful for all the kind words and blessings that are generated from their customers.

Overall, Reisch Roofing and Construction LLCs roofing and remodeling services are implemented by some of the best installers in the roofing industry, and Reisch Roofing and Construction LLC prides themselves with providing you with long lasting quality.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1118403,21,Reisch Roofing and Construction LLC,(855) 444-2111,70,5,3,13VH09822200,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/pompton-plains/reisch-roofing-and-construction-llc-1118403,https://reischroofing.com/,
"All Professional Remodeling Group has been on top of the roofing, siding, metal, and window industry in Northern New Jersey for over 28 years. Our backbone has always been our dedication to satisfying our customers needs and providing the highest quality of work for every single project we take on. With an array of certficataions, including being GAF Master Elite Roofing Contractors and GAF Master Commecial Roofing Installers just to name a few, we have the full backing of the largest roofing manufacturer in the country. Give us a call at 973-571-3052 to assist you with any exterior projects you may have!",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1001104,22,All Professional Remodeling Group LLC,(973) 571-3052,43,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/cedar-grove/all-professional-remodeling-group-llc-1001104,https://www.toproofernj.com/,In business since 1996
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1125170,23,NYC General Pro Roofing Inc,(929) 730-7846,35,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/nyc-general-pro-roofing-inc-1125170,https://www.streetbond.com/coatings,In business since 2019
"We are a family owned, fully licensed and insured home improvement company, using all American made materials, specializing in roofing, siding, gutters and window installation for commercial buildings and residential homes.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1104793,24,Kelly Exteriors,(201) 977-1076,29,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/emerson/kelly-exteriors-1104793,https://www.kellyexteriorsnj.com/,In business since 1994
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1000796,25,McLeod Brothers Inc,(914) 712-8203,21,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-rochelle/mcleod-brothers-inc-1000796,https://www.streetbond.com/coatings,
"A.R.M. ROOFING is in it’s fifth decade of service in the roofing industry.  Our commitment to providing our customers with the best products available at the best possible price has proven to be successful.  

Today, A.R.M. ROOFING is recognized as a leader in the metropolitan area dedicated to professionalism, service and confidence through experience.
 We offer 24 hour emergency services as well as our standard prompt and courteous services.  We are confident that you will find our success is due to our competitive pricing, performance and professionalism.  
There are many roofing companies, but none like ours.  Our staff has practical experience and expert training in every aspect of the roofing industry (estimating and field application) including required OSHA training classes.  We are also fully insured and licensed and have bonding capabilities.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1000079,26,ARM Roofing,(914) 586-9055,8,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/elmsford/arm-roofing-1000079,https://www.armroofinginc.com/,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1124078,27,All Site Roofing,(516) 970-5958,7,5,3,NJ License 13VH12617800,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/franklin-square/all-site-roofing-1124078,https://www.streetbond.com/coatings,In business since 2016
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1135593,28,All Seasons Roofing LLC,(929) 730-5536,5,5,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/all-seasons-roofing-llc-1135593,https://www.streetbond.com/coatings,In business since 2021
A Father and son business established in 1993 serving the five boroughs of New York City and New Jersey for 26 years.,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1120367,29,A&S Construction & Son Inc,(929) 644-7450,1,5,1,13VH10899200,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/as-construction-son-inc-1120367,https://www.streetbond.com/coatings,In business since 1993
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1004105,30,GC Dynatech Construction LLC,(732) 468-7442,1,5,0,13VH10740700,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-amboy/gc-dynatech-construction-llc-1004105,https://www.streetbond.com/coatings,In business since 2008
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",63229,31,VMG Group,(862) 428-2460,1,5,1,13VH00768600,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/roselle/vmg-group-63229,https://www.streetbond.com/coatings,
"From Roof Repairs to Replacements ""We got you Covered"". Since 1985, Long Island Roofing has been providing cost-effective solutions in the roofing industry, all while keeping our customers as our number one focus. Whether it is a complete new roof or a simple repair, Long Island Roofing can guide you through the roofing process, making it easy and seamless as possible. We are a full service licensed, insured  and bonded company and we are experts in all forms of roof work including shingles, flat, tiles slate, metal, roof repairs Solar Roofing, Skylights, chimney flashingsand seamless gutters and leaders. We also provide quick 24 hour emergency repair services for any rofoing system, should the need arise. We are proud to be a long standing GAF Master Elite Contractor while providing our clients the best materials in the  roofing industry along with the highest quality of service at a reasonable cost.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1005906,32,Long Island Roofing and Repairs Service,(516) 530-7806,334,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/north-bellmore/long-island-roofing-and-repairs-service-1005906,https://www.longislandroofing.com/,In business since 1989
"R and G Family business , working in essex county for the last 25 year",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1004426,33,R&G Services Corp,(973) 324-9461,249,4.9,3,13VH01748500,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/rg-services-corp-1004426,https://rghomeservices.com/,In business since 2000
"Because experience doesn't always equal superior quality, The Carpenter's Touch has worked hard to earn a number of industry and professional recognitions and awards to improve our services and show our customers that we're truly dedicated to our work. Know that we are a GAF Certified Master Elite Roofing Contractor as well as a 2017 James Hardie President's Club Award Winning Preferred Contractor. You're sure to be pleased to learn that we're also recipients of the 2016 Angie's List Super Service Award, of which only roughly five percent of Angie's List businesses meet the necessary requirements.",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1100484,34,The Carpenter's Touch LLC,(862) 746-6263,156,4.9,3,13VH03012100,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/livingston/the-carpenters-touch-llc-1100484,https://carpenterstouchnj.com/,In business since 2004
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1100365,35,Above & Beyond Exterior Remodelers,(732) 808-6585,129,4.9,3,13VH07511000,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/fords/above-beyond-exterior-remodelers-1100365,https://www.streetbond.com/coatings,In business since 2013
"Residential Roof/Commercial Roof specialist. Northern New Jersey.
Morris County, Essex County, Somerset County, Union County.
30-year Workmanship Warranty.
Roofing-Siding-Windows-Gutter Guards",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1003499,36,CKG Contractors Inc,(973) 793-1007,129,4.9,3,13VH01320200,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/ckg-contractors-inc-1003499,https://ckgcontractors.com/,In business since 1999
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1137852,37,HK Builders Corp,(929) 680-7663,113,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/flushing/hk-builders-corp-1137852,https://www.streetbond.com/coatings,In business since 2018
"Loja’s Home Improvement Plus LLC in Newark, NJ, takes great pride in our experience, expertise, quality, and customer service that we provide to meet the needs of the consumer. It is our mission to provide excellent workmanship and complete customer satisfaction from start to completion of a project. Lojas Roofing and Sidings is a leader and well known as a roofing contractor in Montville, NJ! In order to understand the needs and expectations of our customers, we take great care to work and communicate with every customer in a professional manner. Our reputation is based on service, safety, and quality, regardless of how large or small the job.​",,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1119370,38,Lojas Home Improvement Plus LLC,(973) 604-5235,91,4.9,3,13VH08779200,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/lojas-home-improvement-plus-llc-1119370,https://www.lojashomeimprovementllc.com/,
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1112309,39,One Call Construction,(855) 600-5041,89,4.9,3,PA,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/hawthorne/one-call-construction-1112309,https://www.streetbond.com/coatings,In business since 2011
,,"GAF Master Elite®; GAF Master Elite®
GAF entrusts Master Elite® contractors to offer our strongest warranties including the Golden Pledge® Limited Warranty* on qualifying roof systems.",1108705,40,American Quality Home Improvements LLC,(844) 869-0685,73,4.9,3,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/belleville/american-quality-home-improvements-llc-1108705,https://www.aqroofingnj.com/,In business since 2008
