name,address,city,state,zip,phone,website,distance,certifications,rating,review_count,search_zip_code,search_distance
ADH Group,,Jackson Heights,NY,,(929) 215-3378,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/jackson-heights/adh-group-1136285,6.2 mi,['GAF Master Elite®'],4.8,568,10013,25
A&J Professional Services Inc,,South Plainfield,NJ,,(908) 432-7081,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/aj-professional-services-inc-1118752,22.8 mi,['GAF Master Elite®'],4.8,213,10013,25
B&B Siding and Roofing,,Staten Island,NY,,(718) 757-2904,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-siding-and-roofing-1103353,13.3 mi,['GAF Master Elite®'],4.8,157,10013,25
Seci Construction Inc,,Clifton,NJ,,(866) 572-7324,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/seci-construction-inc-1136200,12.1 mi,['GAF Master Elite®'],4.8,122,10013,25
J Salvatore & Sons Inc,,Yonkers,NY,,(914) 237-0683,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/yonkers/j-salvatore-sons-inc-1003498,15.4 mi,['GAF Master Elite®'],4.8,89,10013,25
Big Apple Renovators,,Astoria,NY,,(718) 521-2121,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/astoria/big-apple-renovators-1119153,6.1 mi,['GAF Master Elite®'],4.8,26,10013,25
Victory Home Remodeling LLC,,Edison,NJ,,(908) 258-8737,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/victory-home-remodeling-llc-1124212,22.9 mi,['GAF Master Elite®'],4.7,1939,10013,25
Dior Construction,,Bergenfield,NJ,,(201) 472-5462,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/dior-construction-1104750,13.8 mi,['GAF Master Elite®'],4.7,273,10013,25
Window Depot USA of Lower NY,,South Hempstead,NY,,(516) 564-4400,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/south-hempstead/window-depot-usa-of-lower-ny-1100471,20.1 mi,['GAF Master Elite®'],4.7,206,10013,25
Royal Renovators Inc,,Forest Hills,NY,,(718) 414-6067,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/forest-hills/royal-renovators-inc-1109076,8.6 mi,['GAF Master Elite®'],4.7,169,10013,25
Kamtech Restoration Corp,,Brooklyn,NY,,(347) 860-1109,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/kamtech-restoration-corp-1112005,7.7 mi,['GAF Master Elite®'],4.7,122,10013,25
Window Galaxy USA,,South Amboy,NJ,,(800) 990-1235,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-amboy/window-galaxy-usa-1103391,22.4 mi,['GAF Master Elite®'],4.7,100,10013,25
SmartRoof LLC,,Parsippany,NJ,,(844) 334-1864,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/smartroof-llc-1141740,22.4 mi,['GAF Master Elite®'],4.7,85,10013,25
All Pro Roofing & Siding Inc,,Staten Island,NY,,(347) 231-2915,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/all-pro-roofing-siding-inc-1111750,11.4 mi,['GAF Master Elite®'],4.7,82,10013,25
Tico's Carpentry and Roofing LLC,,Union,NJ,,(908) 624-0001,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/ticos-carpentry-and-roofing-llc-1001885,14.1 mi,['GAF Master Elite®'],4.7,30,10013,25
Gorman & Carbone Roofing Contractors,,Staten Island,NY,,(718) 317-4023,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/gorman-carbone-roofing-contractors-1103443,20.0 mi,['GAF Master Elite®'],4.7,27,10013,25
Multi Roofing System Inc,,Edison,NJ,,(732) 609-6424,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/multi-roofing-system-inc-1000574,22.5 mi,['GAF Master Elite®'],4.7,19,10013,25
RJ Construction,,Orange,NJ,,(201) 274-6003,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/rj-construction-1100517,13.2 mi,['GAF Master Elite®'],4.7,14,10013,25
Power Home Remodeling,,Edison,NJ,,(908) 603-1296,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/power-home-remodeling-1103336,24.4 mi,['GAF Master Elite®'],4.6,4147,10013,25
Abraham Roofing,,Lynbrook,NY,,(800) 347-0913,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/lynbrook/abraham-roofing-1002062,17.5 mi,['GAF Master Elite®'],4.6,87,10013,25
Acorn Home Improvements Inc,,Whippany,NJ,,(973) 386-9604,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/whippany/acorn-home-improvements-inc-1006133,23.1 mi,['GAF Master Elite®'],4.6,69,10013,25
Garden State Roofing & Siding,,North Middletown,NJ,,(732) 787-5545,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/north-middletown/garden-state-roofing-siding-1101248,21.5 mi,['GAF Master Elite®'],4.6,48,10013,25
Abraham Roofing & Siding,,Union,NJ,,(973) 379-1300,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/abraham-roofing-siding-1123198,16.1 mi,['GAF Master Elite®'],4.6,10,10013,25
Homestead Roofing Company,,Ridgewood,NJ,,(201) 444-2233,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ridgewood/homestead-roofing-company-1100174,19.2 mi,['GAF Master Elite®'],4.5,122,10013,25
Classic Remodeling Corp,,Hackensack,NJ,,(201) 745-8065,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/hackensack/classic-remodeling-corp-1005319,12.5 mi,['GAF Master Elite®'],4.5,51,10013,25
Premium Home Improvements,,Berkeley Heights,NJ,,(908) 898-1420,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/berkeley-heights/premium-home-improvements-1003072,24.0 mi,['GAF Master Elite®'],4.5,47,10013,25
JC Master Inc,,Richmond Hill,NY,,(347) 400-2611,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/richmond-hill/jc-master-inc-1136966,8.5 mi,['GAF Master Elite®'],4.2,105,10013,25
FM Construction Group LLC,,East Orange,NJ,,(973) 989-1616,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/east-orange/fm-construction-group-llc-1006185,11.0 mi,['GAF Master Elite®'],4.2,34,10013,25
American Siding Construction Corp,,Newark,NJ,,(201) 772-7713,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/newark/american-siding-construction-corp-1109046,7.3 mi,['GAF Master Elite®'],4.1,26,10013,25
A1 Affordable Construction,,Clifton,NJ,,(800) 865-0053,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/a1-affordable-construction-1106994,13.2 mi,['GAF Master Elite®'],4.0,403,10013,25
Pravco Inc,,Rahway,NJ,,(732) 388-0800,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/rahway/pravco-inc-1101120,17.4 mi,['GAF Master Elite®'],4.0,9,10013,25
S&S Roofing Inc,,Carteret,NJ,,(732) 602-0099,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/carteret/ss-roofing-inc-1005773,16.1 mi,['GAF Master Elite®'],4.0,8,10013,25
Nations Roof East LLC,,Yonkers,NY,,(914) 423-6171,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/yonkers/nations-roof-east-llc-1004877,16.7 mi,['GAF Master Elite®'],4.0,4,10013,25
Northeast Roof Maintenance Inc,,Perth Amboy,NJ,,(732) 442-2020,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/perth-amboy/northeast-roof-maintenance-inc-1000630,19.9 mi,['GAF Master Elite®'],3.0,2,10013,25
Blake Windows Siding & Roofing,,New Hyde Park,NY,,(516) 488-4858,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-hyde-park/blake-windows-siding-roofing-1002509,15.8 mi,['GAF Master Elite®'],,,10013,25
Carework Construction LLC,,Lyndhurst,NJ,,(201) 998-8960,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/lyndhurst/carework-construction-llc-1116337,9.6 mi,['GAF Master Elite®'],,,10013,25
Mezini Roofing LLC,,Clifton,NJ,,(973) 767-3256,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/mezini-roofing-llc-1103788,12.7 mi,['GAF Master Elite®'],,,10013,25
Niko K Construction Corp,,Flushing,NY,,(646) 784-0306,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/flushing/niko-k-construction-corp-1116496,11.3 mi,['GAF Master Elite®'],,,10013,25
REK Roofing Services,,Tenafly,NJ,,(646) 721-4431,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/tenafly/rek-roofing-services-1111401,14.3 mi,['GAF Master Elite®'],,,10013,25
